hash_id,case,comment_anon,emojis,themes_a,themes_b,themes_rev,disagreement,kappa_rev_a,kappa_rev_b,theme_C1_a,theme_C2_a,theme_C3_a,theme_C4_a,theme_C5_a,theme_NA_a,character_a,tone_a,confidence_a,theme_C1_b,theme_C2_b,theme_C3_b,theme_C4_b,theme_C5_b,theme_NA_b,character_b,tone_b,confidence_b,theme_C1_rev,theme_C2_rev,theme_C3_rev,theme_C4_rev,theme_C5_rev,theme_NA_rev,character_rev,tone_rev,confidence_rev,theme_C1_h,theme_C2_h,theme_C3_h,theme_C4_h,theme_C5_h,theme_NA_h,character_h,tone_h,human_notes,reviewed_by,reviewed_at,classification_source,needs_human_review
CR7_0472,CR7,You are great player in the world,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.78,0,0,0,0,0,1,Afetivo,Positivo,0.6,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_0500,CR7,جعلك تلحقه,,C1,N.A.,C3,C1: só A; C3: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Cognitivo,Neutro,0.75,0,0,0,0,0,1,Afetivo,Neutro,0.6,0,0,1,0,0,0,Afetivo,Negativo,0.78,,,,,,,,,,,,llm_reviewer,True
CR7_0554,CR7,عجب عکس دو ستاره فوتبال,,N.A.,C1,C4,C1: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.7,1,0,0,0,0,0,Afetivo,Positivo,0.78,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_0571,CR7,شد حيلك البقاء لله,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.85,0,0,0,0,0,1,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
CR7_0689,CR7,اجرنا واجركم عظيم,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.85,0,0,0,0,0,1,Afetivo,Positivo,0.65,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_1078,CR7,@user crissssssss Please hear my voice please 🙏🙏🙏🙏🙏🙏🙏,🙏,N.A.,C1,C4,C1: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.7,1,0,0,0,0,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.82,,,,,,,,,,,,llm_reviewer,True
CR7_1108,CR7,Tu es meilleur,,N.A.,C3,C4,C3: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.75,0,0,1,0,0,0,Afetivo,Positivo,0.76,0,0,0,1,0,0,Afetivo,Positivo,0.83,,,,,,,,,,,,llm_reviewer,True
CR7_1180,CR7,Siiiiiiii,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.75,0,0,0,0,0,1,Afetivo,Positivo,0.85,0,0,0,1,0,0,Afetivo,Positivo,0.72,,,,,,,,,,,,llm_reviewer,True
CR7_1187,CR7,شخصية من يوم يومك ابو الاخ🔥,🔥,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.75,0,0,0,0,0,1,Afetivo,Positivo,0.92,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_1600,CR7,Vc é incrível @user,,N.A.,C1,C4,C1: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
CR7_1611,CR7,Que foto sensacional!,,N.A.,C1,C4,C1: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
CR7_1639,CR7,Wow that's awesome,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.68,0,0,0,0,0,1,Afetivo,Positivo,0.6,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_1709,CR7,هی کریس چه خبر میگم از همین مارک کت‌شلوار که تنته چند نمونه دارم پست هم میکنیم,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,0,0,1,Cognitivo,Neutro,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.84,,,,,,,,,,,,llm_reviewer,True
CR7_2173,CR7,Cr77777777777777,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Cognitivo,Neutro,0.8,0,0,0,0,0,1,Cognitivo,Neutro,0.65,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
CR7_2177,CR7,Niceeeeeee,,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.82,0,0,0,0,0,1,Afetivo,Positivo,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.78,,,,,,,,,,,,llm_reviewer,True
CR7_2201,CR7,Allahuakbar Allahuakbar Allahuakbar ❤️,❤️,N.A.,C1,C4,C1: só B; C4: só rev; N.A.: A,0.0,-0.25,0,0,0,0,0,1,Afetivo,Positivo,0.65,1,0,0,0,0,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
FERNANDA_TORRES_2899,Fernanda_Torres,Já quero ir assistir de novo.,,C5,C1,N.A.,C1: só B; C5: só A; N.A.: rev,0.0,0.0,0,0,0,0,1,0,Afetivo,Positivo,0.75,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,0,0,1,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
FERNANDA_TORRES_3647,Fernanda_Torres,✨ Mãezinha ✨,✨,C1,N.A.,C4,C1: só A; C4: só rev; N.A.: B,-0.25,0.0,1,0,0,0,0,0,Afetivo,Positivo,0.88,0,0,0,0,0,1,Afetivo,Positivo,0.6,0,0,0,1,0,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_0880,Bruno_Mars,Saudadeeeez,,C1,"C1,C5","C4,C5",C1: A vs B; C4: só rev; C5: B vs rev,-0.36363636363636354,0.16666666666666663,1,0,0,0,0,0,Afetivo,Positivo,0.85,1,0,0,0,1,0,Afetivo,Positivo,0.75,0,0,0,1,1,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_1189,Bruno_Mars,O cara é muito BRAZIL,,"C1,C5",C1,"C4,C5",C1: A vs B; C4: só rev; C5: A vs rev,0.16666666666666663,-0.36363636363636354,1,0,0,0,1,0,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7282,Bruno_Mars,Cara totalmente brasileiro!!! 😂😂 💚💛 Mais brasileiro que muitos brasileiros natos kkkkk,😂 💚 💛,C1,"C1,C5","C4,C5",C1: A vs B; C4: só rev; C5: B vs rev,-0.36363636363636354,0.16666666666666663,1,0,0,0,0,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.9,0,0,0,1,1,0,Afetivo,Positivo,0.95,,,,,,,,,,,,llm_reviewer,True
CR7_0918,CR7,Vira brasileiro por favor,,"C4,C5","C1,C5","C1,C4",C1: B vs rev; C4: A vs rev; C5: A vs B,0.16666666666666663,0.16666666666666663,0,0,0,1,1,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.8,1,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
CR7_0937,CR7,mis mas sentidos pesame,,"C1,C5",C5,"C1,C4",C1: A vs rev; C4: só rev; C5: A vs B,0.16666666666666663,-0.36363636363636354,1,0,0,0,1,0,Afetivo,Neutro,0.82,0,0,0,0,1,0,Afetivo,Positivo,0.85,1,0,0,1,0,0,Afetivo,Neutro,0.9,,,,,,,,,,,,llm_reviewer,True
CR7_1292,CR7,Rei vais estar ao pé do teu amigo Maradona descansa em paz 🙏🙏🙏🏽,🙏 🙏🏽,"C1,C5","C4,C5","C1,C4",C1: A vs rev; C4: B vs rev; C5: A vs B,0.16666666666666663,0.16666666666666663,1,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,1,0,Afetivo,Positivo,0.85,1,0,0,1,0,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
CR7_1617,CR7,Pelé amigo de Cristiano Ronaldo des cance e passe Pelé,,C5,"C1,C5","C1,C4",C1: B vs rev; C4: só rev; C5: A vs B,-0.36363636363636354,0.16666666666666663,0,0,0,0,1,0,Afetivo,Positivo,0.8,1,0,0,0,1,0,Afetivo,Positivo,0.88,1,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_0261,Bruno_Mars,Show,,C4,"C1,C4","C4,C5",C1: só B; C5: só rev,0.5454545454545454,0.16666666666666663,0,0,0,1,0,0,Afetivo,Positivo,0.8,1,0,0,1,0,0,Afetivo,Positivo,0.78,0,0,0,1,1,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_0787,Bruno_Mars,Proud filipino bruno mars ❤️🇵🇭❤️,🇵🇭 ❤️,C4,N.A.,"C1,C4",C1: só rev; C4: A vs rev; N.A.: B,0.5454545454545454,0.0,0,0,0,1,0,0,Afetivo,Positivo,0.82,0,0,0,0,0,1,Afetivo,Positivo,0.92,1,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_1065,Bruno_Mars,gostoso,,C4,C5,"C4,C5",C4: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Afetivo,Positivo,0.88,0,0,0,0,1,0,Afetivo,Positivo,0.78,0,0,0,1,1,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_1260,Bruno_Mars,Volta Brunão🇧🇷,🇧🇷,C4,C5,"C4,C5",C4: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Afetivo,Positivo,0.92,0,0,0,0,1,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.95,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_2199,Bruno_Mars,@user il #rumoaos200M,,C5,"C1,C5","C4,C5",C1: só B; C4: só rev,0.5454545454545454,0.16666666666666663,0,0,0,0,1,0,Cognitivo,Positivo,0.85,1,0,0,0,1,0,Afetivo,Positivo,0.82,0,0,0,1,1,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_3807,Bruno_Mars,Brazilian Portuguese,,C4,C5,"C4,C5",C4: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Afetivo,Positivo,0.92,0,0,0,0,1,0,Afetivo,Positivo,0.8,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_4651,Bruno_Mars,Hora de ajudar os 200M🇧🇷🇧🇷🇧🇷,🇧🇷,C5,"C1,C5","C4,C5",C1: só B; C4: só rev,0.5454545454545454,0.16666666666666663,0,0,0,0,1,0,Cognitivo,Positivo,0.85,1,0,0,0,1,0,Afetivo,Positivo,0.82,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_4787,Bruno_Mars,"Bora, bora!!!",,C5,C4,"C4,C5",C4: B vs rev; C5: A vs rev,0.5454545454545454,0.5454545454545454,0,0,0,0,1,0,Afetivo,Positivo,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.8,0,0,0,1,1,0,Afetivo,Positivo,0.8,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_4800,Bruno_Mars,Será que o retorno é agora? 👀🤭,🤭 👀,C4,C5,"C4,C5",C4: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Cognitivo,Neutro,0.75,0,0,0,0,1,0,Cognitivo,Positivo,0.78,0,0,0,1,1,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_4874,Bruno_Mars,"Menos de 51 mil galera. Boraaaa, para não que estamos quase chegando #rumosaos200M",,"C1,C5",C5,"C4,C5",C1: só A; C4: só rev,0.16666666666666663,0.5454545454545454,1,0,0,0,1,0,Afetivo,Positivo,0.78,0,0,0,0,1,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5069,Bruno_Mars,Era pra ter essa música no roube um brainrot pra os brasileiros😭😭😭,😭,C5,"C1,C5","C4,C5",C1: só B; C4: só rev,0.5454545454545454,0.16666666666666663,0,0,0,0,1,0,Afetivo,Negativo,0.8,1,0,0,0,1,0,Afetivo,Negativo,0.8,0,0,0,1,1,0,Afetivo,Negativo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5160,Bruno_Mars,Eu acreditei nos 200 milhões!!! 🙂,🙂,"C4,C5",C1,C4,C1: só B; C4: A vs rev; C5: só A,0.5454545454545454,-0.25,0,0,0,1,1,0,Afetivo,Positivo,0.85,1,0,0,0,0,0,Afetivo,Positivo,0.85,0,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5280,Bruno_Mars,Falta 19mil. Simboraaaa,,C5,N.A.,"C4,C5",C4: só rev; C5: A vs rev; N.A.: B,0.5454545454545454,0.0,0,0,0,0,1,0,Cognitivo,Positivo,0.78,0,0,0,0,0,1,Cognitivo,Positivo,0.75,0,0,0,1,1,0,Afetivo,Positivo,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5507,Bruno_Mars,Bora estamos na batalha logo logo a meta será alcançada🫶🇧🇷💪,🇧🇷 💪 🫶,"C1,C5",C5,"C4,C5",C1: só A; C4: só rev,0.16666666666666663,0.5454545454545454,1,0,0,0,1,0,Afetivo,Positivo,0.88,0,0,0,0,1,0,Afetivo,Positivo,0.82,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5514,Bruno_Mars,Haja coração 🇧🇷,🇧🇷,"C1,C5",C5,"C4,C5",C1: só A; C4: só rev,0.16666666666666663,0.5454545454545454,1,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,1,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5598,Bruno_Mars,"5mil. Tem q ser hoje, gente!!!!",,C5,C4,"C4,C5",C4: B vs rev; C5: A vs rev,0.5454545454545454,0.5454545454545454,0,0,0,0,1,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.78,0,0,0,1,1,0,Afetivo,Positivo,0.82,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5617,Bruno_Mars,"5mil, gente! Simboraaaa",,C5,C4,"C4,C5",C4: B vs rev; C5: A vs rev,0.5454545454545454,0.5454545454545454,0,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,0,0,Afetivo,Positivo,0.84,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5627,Bruno_Mars,"Hey, hooligans, bora bater essa meta hoje????🇧🇷🔥📍",🇧🇷 📍 🔥,"C1,C5",C5,"C4,C5",C1: só A; C4: só rev,0.16666666666666663,0.5454545454545454,1,0,0,0,1,0,Afetivo,Positivo,0.82,0,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5712,Bruno_Mars,2mil. Simboraaaa,,C5,C4,"C4,C5",C4: B vs rev; C5: A vs rev,0.5454545454545454,0.5454545454545454,0,0,0,0,1,0,Afetivo,Positivo,0.8,0,0,0,1,0,0,Afetivo,Positivo,0.88,0,0,0,1,1,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5728,Bruno_Mars,2mil galeraaaaaaa falta só 2mil 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🔥,🇧🇷 🔥,"C1,C5",C5,"C4,C5",C1: só A; C4: só rev,0.16666666666666663,0.5454545454545454,1,0,0,0,1,0,Afetivo,Positivo,0.92,0,0,0,0,1,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.95,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5888,Bruno_Mars,200 MILHÕES DE VIEWS!!! 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,🇧🇷,C5,"C1,C5","C4,C5",C1: só B; C4: só rev,0.5454545454545454,0.16666666666666663,0,0,0,0,1,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_5903,Bruno_Mars,Alcançamos🇧🇷🇧🇷🇧🇷🇧🇷,🇧🇷,C1,C5,"C1,C5",C1: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,1,0,0,0,0,0,Afetivo,Positivo,0.92,0,0,0,0,1,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.92,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7198,Bruno_Mars,Mt bom kkkkk 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,🇧🇷,C5,"C1,C5","C4,C5",C1: só B; C4: só rev,0.5454545454545454,0.16666666666666663,0,0,0,0,1,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.85,0,0,0,1,1,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7278,Bruno_Mars,Bruninho already has a Brazilian CPF and will become a naturalized citizen this year.,,C1,C4,"C1,C4",C1: A vs rev; C4: B vs rev,0.5454545454545454,0.5454545454545454,1,0,0,0,0,0,Cognitivo,Neutro,0.72,0,0,0,1,0,0,Cognitivo,Neutro,0.72,1,0,0,1,0,0,Cognitivo,Neutro,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7488,Bruno_Mars,Em breve voltarei a postar nos story novamente 🫶,🫶,"C4,C5",C5,C4,C4: A vs rev; C5: A vs B,0.5454545454545454,-0.25,0,0,0,1,1,0,Afetivo,Positivo,0.85,0,0,0,0,1,0,Afetivo,Positivo,0.75,0,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7744,Bruno_Mars,Ele é mesmo fã de Reginaldo Rossi ou não!?,,C2,"C1,C5","C2,C4",C1: só B; C2: A vs rev; C4: só rev; C5: só B,0.5454545454545454,-0.6666666666666667,0,1,0,0,0,0,Cognitivo,Neutro,0.72,1,0,0,0,1,0,Cognitivo,Neutro,0.8,0,1,0,1,0,0,Cognitivo,Neutro,0.85,,,,,,,,,,,,llm_reviewer,True
BRUNO_MARS_7894,Bruno_Mars,Já pode voltar 🇧🇷🇧🇷🇧🇷,🇧🇷,C4,C5,"C4,C5",C4: A vs rev; C5: B vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Afetivo,Positivo,0.85,0,0,0,0,1,0,Afetivo,Positivo,0.92,0,0,0,1,1,0,Afetivo,Positivo,0.94,,,,,,,,,,,,llm_reviewer,True
CR7_0487,CR7,"pelé você sempre viverá em nossos corações, nunca vamos esquecer de você pelé 🙏⚽🇧🇷",🙏 🇧🇷 ⚽,C1,"C1,C5","C1,C4",C4: só rev; C5: só B,0.5454545454545454,0.16666666666666663,1,0,0,0,0,0,Afetivo,Positivo,0.92,1,0,0,0,1,0,Afetivo,Positivo,0.86,1,0,0,1,0,0,Afetivo,Positivo,0.92,,,,,,,,,,,,llm_reviewer,True
CR7_0493,CR7,mmb,,N.A.,C1,"C1,C4",C1: B vs rev; C4: só rev; N.A.: A,0.0,0.5454545454545454,0,0,0,0,0,1,Cognitivo,Neutro,0.65,1,0,0,0,0,0,Afetivo,Positivo,0.82,1,0,0,1,0,0,Afetivo,Positivo,0.88,,,,,,,,,,,,llm_reviewer,True
CR7_0494,CR7,@user,,N.A.,C1,"C1,C4",C1: B vs rev; C4: só rev; N.A.: A,0.0,0.5454545454545454,0,0,0,0,0,1,Cognitivo,Neutro,0.75,1,0,0,0,0,0,Afetivo,Positivo,0.82,1,0,0,1,0,0,Afetivo,Positivo,0.86,,,,,,,,,,,,llm_reviewer,True
CR7_0503,CR7,RIP,,N.A.,C1,"C1,C4",C1: B vs rev; C4: só rev; N.A.: A,0.0,0.5454545454545454,0,0,0,0,0,1,Afetivo,Neutro,0.7,1,0,0,0,0,0,Afetivo,Neutro,0.92,1,0,0,1,0,0,Afetivo,Neutro,0.82,,,,,,,,,,,,llm_reviewer,True
CR7_0542,CR7,Mesie is better,,C1,C3,"C3,C4",C1: só A; C3: B vs rev; C4: só rev,-0.36363636363636354,0.5454545454545454,1,0,0,0,0,0,Afetivo,Positivo,0.9,0,0,1,0,0,0,Afetivo,Negativo,0.72,0,0,1,1,0,0,Afetivo,Negativo,0.82,,,,,,,,,,,,llm_reviewer,True
CR7_0568,CR7,@user,,C1,"C1,C5","C1,C4",C4: só rev; C5: só B,0.5454545454545454,0.16666666666666663,1,0,0,0,0,0,Afetivo,Positivo,0.85,1,0,0,0,1,0,Afetivo,Positivo,0.8,1,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
CR7_0575,CR7,"I love you brother, I hope to be an example of you in the future",,C4,C1,"C1,C4",C1: B vs rev; C4: A vs rev,0.5454545454545454,0.5454545454545454,0,0,0,1,0,0,Afetivo,Positivo,0.92,1,0,0,0,0,0,Afetivo,Positivo,0.85,1,0,0,1,0,0,Afetivo,Positivo,0.9,,,,,,,,,,,,llm_reviewer,True
