hash_id,case,comment_anon,emojis_list,hashtags_list,language,is_brazilian,comment_length,theme_C1,theme_C2,theme_C3,theme_C4,theme_C5,theme_NA,theme_conf,character,char_conf,tone,tone_conf,classification_source,rule_id,coder_agreement,reviewer_used,kappa_reviewer_a,kappa_reviewer_b,human_reviewed
BRUNO_MARS_0011,Bruno_Mars,💛🇧🇷💛,"['🇧🇷', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0012,Bruno_Mars,🇧🇷💛🇧🇷,"['🇧🇷', '💛']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0013,Bruno_Mars,💛🇧🇷💚,"['🇧🇷', '💚', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0014,Bruno_Mars,💛🇧🇷🔥,"['🇧🇷', '🔥', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0015,Bruno_Mars,💛🇧🇷❤️,"['🇧🇷', '❤️', '💛']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0016,Bruno_Mars,💚🇧🇷❤️,"['🇧🇷', '💚', '❤️']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0017,Bruno_Mars,🇧🇷💚🇧🇷,"['🇧🇷', '💚']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0018,Bruno_Mars,💚🇧🇷💚,"['🇧🇷', '💚']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0019,Bruno_Mars,💚🇧🇷🔥,"['🇧🇷', '💚', '🔥']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0020,Bruno_Mars,💚🇧🇷😂,"['🇧🇷', '😂', '💚']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0021,Bruno_Mars,💚🇧🇷📍,"['🇧🇷', '💚', '📍']",[],,True,4,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0022,Bruno_Mars,💚🇧🇷😍,"['🇧🇷', '💚', '😍']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0023,Bruno_Mars,💚🇧🇷💛,"['🇧🇷', '💚', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0024,Bruno_Mars,💚🇧🇷💚,"['🇧🇷', '💚']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0025,Bruno_Mars,💚🇧🇷🔥,"['🇧🇷', '💚', '🔥']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0026,Bruno_Mars,🔥🇧🇷❤️,"['🔥', '❤️', '🇧🇷']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0027,Bruno_Mars,🔥🇧🇷🔥,"['🔥', '🇧🇷']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0028,Bruno_Mars,🇧🇷🔥🇧🇷,"['🇧🇷', '🔥']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0029,Bruno_Mars,🔥🇧🇷😂,"['🔥', '😂', '🇧🇷']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0030,Bruno_Mars,🔥🇧🇷📍,"['🔥', '📍', '🇧🇷']",[],,True,4,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0031,Bruno_Mars,🔥🇧🇷😍,"['🔥', '🇧🇷', '😍']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0032,Bruno_Mars,🔥🇧🇷💛,"['🔥', '🇧🇷', '💛']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0033,Bruno_Mars,🔥🇧🇷💚,"['🔥', '💚', '🇧🇷']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0034,Bruno_Mars,🔥🇧🇷❤️,"['🔥', '❤️', '🇧🇷']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0035,Bruno_Mars,❤️🇧🇷😂,"['🇧🇷', '😂', '❤️']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0036,Bruno_Mars,🇧🇷❤️🇧🇷,"['🇧🇷', '❤️']",[],,True,6,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0037,Bruno_Mars,❤️🇧🇷❤️,"['🇧🇷', '❤️']",[],,True,6,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0038,Bruno_Mars,❤️🇧🇷📍,"['🇧🇷', '📍', '❤️']",[],,True,5,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0039,Bruno_Mars,❤️🇧🇷😍,"['🇧🇷', '❤️', '😍']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0040,Bruno_Mars,💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚💛💚,"['💚', '💛']",[],,True,39,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,rule,national_colors_foreign,True,False,,,False
BRUNO_MARS_0041,Bruno_Mars,❤️🇧🇷💛,"['🇧🇷', '❤️', '💛']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0042,Bruno_Mars,❤️🇧🇷💚,"['🇧🇷', '💚', '❤️']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0043,Bruno_Mars,❤️🇧🇷🔥,"['🇧🇷', '❤️', '🔥']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0044,Bruno_Mars,📍,['📍'],[],,False,1,False,False,False,False,True,False,0.92,Afetivo,0.92,Neutro,0.6,llm_agreed,,True,False,,,False
BRUNO_MARS_0045,Bruno_Mars,COME BACK HOME!! 💚💛🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,"['🇧🇷', '💚', '💛']",[],en,True,31,False,False,False,True,True,False,0.92,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0046,Bruno_Mars,Brazil loves you.💛 💛💚💚,"['💚', '💛']",[],sk,True,22,False,False,False,True,False,False,0.85,Afetivo,0.95,Positivo,0.95,llm_agreed,,True,False,,,False
BRUNO_MARS_0047,Bruno_Mars,We miss you so much.🇧🇷🥹,"['🇧🇷', '🥹']",[],en,True,23,False,False,False,True,True,False,0.92,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0048,Bruno_Mars,💚💚💚,['💚'],[],,False,3,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,rule,national_colors_foreign,True,False,,,False
BRUNO_MARS_0049,Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷,['🇧🇷'],[],,True,8,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0050,Bruno_Mars,🇧🇷,['🇧🇷'],[],,True,2,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0051,Bruno_Mars,💚,['💚'],[],,False,1,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,rule,national_colors_foreign,True,False,,,False
BRUNO_MARS_0052,Bruno_Mars,🔥,['🔥'],[],,False,1,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_fire_foreign,True,False,,,False
BRUNO_MARS_0053,Bruno_Mars,Volta Bruninho.💛💚 🇧🇷,"['🇧🇷', '💚', '💛']",[],pt,True,20,False,False,False,True,True,False,0.95,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0054,Bruno_Mars,Te amamos @user volta logo 🇧🇷🔥,"['🇧🇷', '🔥']",[],es,True,35,False,False,False,True,True,False,0.92,Afetivo,0.95,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0055,Bruno_Mars,"Seu CPF, catão do SUS e seu cadastro do bolsa família foi aprovado!! Tem que vir presencialmente... 😂🇧🇷🇧🇷🇧🇷","['🇧🇷', '😂']",[],pt,True,107,False,True,False,False,True,False,0.88,Afetivo,0.88,Positivo,0.88,llm_agreed,,True,False,,,False
BRUNO_MARS_0056,Bruno_Mars,💚💚💚💚💚🇧🇷🇧🇷🇧🇷,"['🇧🇷', '💚']",[],,True,11,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0057,Bruno_Mars,Time to come back Bruninho!,[],[],en,False,27,False,False,False,True,False,False,0.85,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0058,Bruno_Mars,Bruninho 💚,['💚'],[],pt,True,10,False,False,False,True,False,False,0.85,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0059,Bruno_Mars,Petição para que todas as fanpages incentive seu público a interagir nesse vídeo!! Bora???🔥🔥,['🔥'],[],pt,True,92,False,False,False,True,True,False,0.85,Afetivo,0.9,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0060,Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,['🇧🇷'],[],,True,10,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0061,Bruno_Mars,😍 que saudades meu cantor,['😍'],[],pt,True,25,False,False,False,True,False,False,0.9,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0062,Bruno_Mars,LET'S GO BRAZIL!!🇧🇷📍,"['🇧🇷', '📍']",[],sl,True,20,True,False,False,False,True,False,0.92,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0063,Bruno_Mars,💚💚💚💚💚💚,['💚'],[],,False,6,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,rule,national_colors_foreign,True,False,,,False
BRUNO_MARS_0064,Bruno_Mars,Tá na hora de voltar!!!!!!!!!!!!! 🇧🇷💚💛💚💛💚💛,"['🇧🇷', '💚', '💛']",[],pt,True,42,False,False,False,True,True,False,0.9,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0065,Bruno_Mars,Juro por Deus só hoje vi ele se acabando no pão de queijo kkkkkkkk,[],[],pt,True,66,False,True,False,True,True,False,0.88,Afetivo,0.95,Positivo,0.9,llm_reviewer,,False,True,0.2857142857142857,1.0,False
BRUNO_MARS_0066,Bruno_Mars,Volta bruninhooooo,[],[],af,False,18,False,False,False,True,True,False,0.85,Afetivo,0.92,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0067,Bruno_Mars,"Volta Brunão, as Popozudas estão transtornadas de Saudades! Seu bonde te ama demais...🇧🇷",['🇧🇷'],[],pt,True,88,False,False,False,True,True,False,0.88,Afetivo,0.95,Positivo,0.95,llm_agreed,,True,False,,,False
BRUNO_MARS_0068,Bruno_Mars,Voltaaaaaaaaaa🇧🇷,['🇧🇷'],[],so,True,16,False,False,False,True,True,False,0.92,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0069,Bruno_Mars,Volta Bruninho ❤️,['❤️'],[],pt,True,17,False,False,False,True,False,False,0.92,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0070,Bruno_Mars,saudades 🥹,['🥹'],[],es,False,10,False,False,False,True,False,False,0.9,Afetivo,0.92,Positivo,0.88,llm_reviewer,,False,True,0.5454545454545454,1.0,False
BRUNO_MARS_0071,Bruno_Mars,🇧🇷🇧🇷🔥,"['🇧🇷', '🔥']",[],,True,5,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0072,Bruno_Mars,🇧🇷🇧🇷📍🔥💚💛,"['🇧🇷', '🔥', '💛', '💚', '📍']",[],,True,8,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0073,Bruno_Mars,I want to see flowers in you,[],[],en,True,28,False,False,False,True,True,False,0.85,Afetivo,0.9,Positivo,0.9,llm_reviewer,,False,True,1.0,0.6153846153846154,False
BRUNO_MARS_0074,Bruno_Mars,🔥🔥🔥🔥,['🔥'],[],,False,4,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_fire_foreign,True,False,,,False
BRUNO_MARS_0075,Bruno_Mars,Voltaaaaa amor 🇧🇷💛💚,"['🇧🇷', '💚', '💛']",[],fi,True,19,False,False,False,True,True,False,0.88,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0076,Bruno_Mars,💚💛📍,"['💚', '📍', '💛']",[],,True,3,False,False,False,True,True,False,0.95,Afetivo,0.96,Positivo,0.95,llm_reviewer,,False,True,1.0,0.1666666666666666,False
BRUNO_MARS_0077,Bruno_Mars,📍😍😍😍😍😍😍😍😍,"['😍', '📍']",[],,False,9,False,False,False,True,True,False,0.92,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0078,Bruno_Mars,Volta logo 🔥🔥🔥🔥,['🔥'],[],it,False,15,False,False,False,True,False,False,0.92,Afetivo,0.95,Positivo,0.94,llm_reviewer,,False,True,0.5454545454545454,1.0,False
BRUNO_MARS_0079,Bruno_Mars,Que saudadeeeee volta logo 😭😭😭,['😭'],[],es,False,30,False,False,False,True,False,False,0.85,Afetivo,0.9,Positivo,0.8,llm_agreed,,True,False,,,False
BRUNO_MARS_0080,Bruno_Mars,"VOLTA, BRUNINHO!!!! 🇧🇷🇧🇷🇧🇷",['🇧🇷'],[],pt,True,26,False,False,False,True,True,False,0.92,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0081,Bruno_Mars,😍😍😍😍💚💛,"['😍', '💚', '💛']",[],,True,6,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_combo_foreign,True,False,,,False
BRUNO_MARS_0082,Bruno_Mars,💚💛🇧🇷📍,"['🇧🇷', '💚', '📍', '💛']",[],,True,5,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0083,Bruno_Mars,Um verdadeiro artista!❤️❤️❤️❤️🇧🇷🇧🇷🇧🇷🇧🇷,"['🇧🇷', '❤️']",[],pt,True,38,False,False,False,True,True,False,0.92,Afetivo,0.95,Positivo,0.95,llm_agreed,,True,False,,,False
BRUNO_MARS_0084,Bruno_Mars,🔥🔥🔥🔥🔥😍😍😍😍,"['🔥', '😍']",[],,False,9,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_combo_foreign,True,False,,,False
BRUNO_MARS_0085,Bruno_Mars,My super..........,[],[],en,False,18,False,False,False,True,False,False,0.8,Afetivo,0.85,Positivo,0.8,llm_reviewer,,False,True,1.0,0.0,False
BRUNO_MARS_0086,Bruno_Mars,📍,['📍'],[],,False,1,False,False,False,False,True,False,0.92,Cognitivo,0.85,Neutro,0.75,llm_agreed,,True,False,,,False
BRUNO_MARS_0087,Bruno_Mars,Bruninho 😍,['😍'],[],pt,True,10,False,False,False,True,False,False,0.92,Afetivo,0.95,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0088,Bruno_Mars,Bora Brasil!!!!!🇧🇷📍,"['🇧🇷', '📍']",[],pt,True,19,True,False,False,False,True,False,0.82,Afetivo,0.85,Positivo,0.88,llm_agreed,,True,False,,,False
BRUNO_MARS_0089,Bruno_Mars,Bts,[],[],,False,3,False,False,False,False,False,True,0.75,Cognitivo,0.6,Neutro,0.6,llm_agreed,,True,False,,,False
BRUNO_MARS_0090,Bruno_Mars,"Bora, gente!!! Bora fazer esse vídeo chegar a 200 mi",[],[],pt,True,52,False,False,False,True,True,False,0.85,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0091,Bruno_Mars,"Vamos subir esse vídeo, Brasil!!!🇧🇷🚨🚨📍","['🚨', '🇧🇷', '📍']",[],pt,True,38,False,False,False,False,True,False,0.85,Afetivo,0.92,Positivo,0.92,llm_agreed,,True,False,,,False
BRUNO_MARS_0092,Bruno_Mars,VOLTAAAAAA BRUNINHO!!! 🚨📍🇧🇷,"['🚨', '🇧🇷', '📍']",[],fi,True,27,False,False,False,True,True,False,0.85,Afetivo,0.9,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0093,Bruno_Mars,Vim dar uma olhadinha no ranking,[],[],pt,True,32,False,False,False,False,False,True,0.92,Cognitivo,0.92,Neutro,0.88,llm_agreed,,True,False,,,False
BRUNO_MARS_0094,Bruno_Mars,🇧🇷,['🇧🇷'],[],,True,2,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0095,Bruno_Mars,❤️❤️❤️❤️,['❤️'],[],,True,8,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_heart_foreign,True,False,,,False
BRUNO_MARS_0096,Bruno_Mars,💛💚🇧🇷🇧🇷,"['🇧🇷', '💚', '💛']",[],,True,6,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0097,Bruno_Mars,📍,['📍'],[],,False,1,False,False,False,False,True,False,0.8,Cognitivo,0.75,Neutro,0.75,llm_agreed,,True,False,,,False
BRUNO_MARS_0098,Bruno_Mars,🇧🇷❤️,"['🇧🇷', '❤️']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0099,Bruno_Mars,😂🇧🇷,"['🇧🇷', '😂']",[],,True,3,False,False,False,False,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0100,Bruno_Mars,📍🇧🇷,"['🇧🇷', '📍']",[],,True,3,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0101,Bruno_Mars,😍🇧🇷,"['😍', '🇧🇷']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0102,Bruno_Mars,💛🇧🇷,"['🇧🇷', '💛']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0103,Bruno_Mars,💚🇧🇷,"['🇧🇷', '💚']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0104,Bruno_Mars,🔥🇧🇷,"['🔥', '🇧🇷']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0105,Bruno_Mars,@user bota esse divo em Copacabana… certeza que vamos bater recorde de público. 😍😍,['😍'],[],pt,True,92,False,False,False,True,True,False,0.95,Afetivo,0.95,Positivo,0.95,llm_reviewer,,False,True,1.0,0.5454545454545454,False
BRUNO_MARS_0106,Bruno_Mars,Bruninho 😍,['😍'],[],pt,True,10,False,False,False,True,False,False,0.92,Afetivo,0.95,Positivo,0.9,llm_agreed,,True,False,,,False
BRUNO_MARS_0107,Bruno_Mars,"Bora, Brasil!!! 💛💚🇧🇷📍","['🇧🇷', '💚', '📍', '💛']",[],pt,True,21,True,False,False,True,True,False,0.95,Afetivo,0.95,Positivo,0.95,llm_reviewer,,False,True,1.0,0.6153846153846154,False
BRUNO_MARS_0108,Bruno_Mars,💚💛,"['💚', '💛']",[],,True,2,False,False,False,True,False,False,0.83,Afetivo,0.86,Positivo,0.84,rule,national_colors_foreign,True,False,,,False
BRUNO_MARS_0109,Bruno_Mars,😍💚💛,"['😍', '💚', '💛']",[],,True,3,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_combo_foreign,True,False,,,False
BRUNO_MARS_0110,Bruno_Mars,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,['🇧🇷'],[],,True,16,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0111,Bruno_Mars,🇧🇷❤️,"['🇧🇷', '❤️']",[],,True,4,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0112,Bruno_Mars,😂🇧🇷,"['🇧🇷', '😂']",[],,True,3,False,False,False,False,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0113,Bruno_Mars,📍🇧🇷,"['🇧🇷', '📍']",[],,True,3,False,False,False,False,True,False,0.86,Afetivo,0.88,Positivo,0.86,rule,flag_location,True,False,,,False
BRUNO_MARS_0114,Bruno_Mars,😍🇧🇷,"['😍', '🇧🇷']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0115,Bruno_Mars,💛🇧🇷,"['🇧🇷', '💛']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0116,Bruno_Mars,💚🇧🇷,"['🇧🇷', '💚']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0117,Bruno_Mars,🔥🇧🇷,"['🔥', '🇧🇷']",[],,True,3,False,False,False,True,True,False,0.84,Afetivo,0.88,Positivo,0.86,rule,flag_mixed_foreign,True,False,,,False
BRUNO_MARS_0118,Bruno_Mars,🇧🇷🇧🇷🇧🇷,['🇧🇷'],[],,True,6,False,False,False,False,True,False,0.84,Afetivo,0.86,Positivo,0.84,rule,flag_only_foreign_thread,True,False,,,False
BRUNO_MARS_0119,Bruno_Mars,❤️❤️,['❤️'],[],,False,4,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_heart_foreign,True,False,,,False
BRUNO_MARS_0120,Bruno_Mars,❤️🔥,"['🔥', '❤️']",[],,False,3,False,False,False,True,False,False,0.84,Afetivo,0.88,Positivo,0.86,rule,affect_combo_foreign,True,False,,,False
